bbl,bin,address,zipcode,bldgtype,ess,year,gfa,numbldgs,numfloors,eui,energy,wui,ghg,primary_type,other_types_dict,has_datacenter,electricity,bedrooms,natural_gas,steam,worker_dens,res_units,diesel,fuel_4,fuel_2,fuel_5_6
4029740109,4068647,61-35DRY HARBOR ROAD,11379,Senior Care Community,35,1972,120450,1,10,263.9,31789574,77.39,10.05,,,,,,,,,,,,,
2025180001,2003313,105-145 West 168th Street,10452,Multifamily Housing,87,1931,342724,1,7,99.6,34134689.3,,5.01,,,,,,,,,,,,,
1008177501,1015318,108 5th Avenue,10011,Multifamily Housing,,1986,77000,1,21,156.4,12043328.6,28.59,5.47,Multifamily Housing,"{'Multifamily Housing': 74500.0, 'Retail Store': 2500.0}",0,2336725.4,97,4284942.9,,,48,,,,
2028680001,2008521,1800 Dr M L King Jr Blvd,10453,Multifamily Housing,,1922,66775,1,5,151.4,10112766.7,,5.77,,,,,,,,,,,,,
1020890033,1062347,3489 Broadway,10031,Multifamily Housing,88,1910,99946,1,10,88.5,8849589.8,47.85,3.77,,,,,,,,,,,,,
2028210001,2007849,1500 Grand Concourse,10457,Multifamily Housing,47,1935,96990,1,6,126.4,12255898,119.99,7.07,,,,,,,,,,,,,
5000080025,5000078,285 St. Mark's Place,10301,Multifamily Housing,43,1965,77000,1,6,142.4,10965143.2,39.66,5.79,,,,,,,,,,,,,
4031550001,4074625,66-01 Burns Street ,11374,Multifamily Housing,71,1963,151200,1,6,118,17835062,,5.35,,,,,,,,,,,,,
1008600055,1016970,32 East 31st Street,10016,Office,90,1914,53464,1,12,119.7,6401364.8,14.01,5.79,Office,,0,1596986.6,,592500.1,,2.3,,,,,
4033220024,"4433887;4433886",118-60 Metropolitan Avenue,11415,Multifamily Housing,64,1954,154818,2,6,110,17024517.6,,4.59,,,,,,,,,,,,,
1014117501,1043173,145 East 76th Street,10021,Multifamily Housing,20,1999,65953,1,15,177.9,11732821.2,39.22,5.84,,,,,,,,,,,,,
3007000038,3010389,"980 4th Avenue, Brooklyn",11232,Other,,1950,45000,1,6,66.5,2993649.5,,2.03,,,,,,,,,,,,,
1019490061,1059255,98 Morningside Avenue,10027,Multifamily Housing,66,1910,65800,1,7,114.8,7554182.4,66.28,6.32,,,,,,,,,,,,,
1017740030,1087143,159 East 125th Street,10035,Office,63,2000,90710,0,0,212.9,19313033.5,32.27,5.87,,,,,,,,,,,,,
1014307501,1044060,"240 East 76th Street, New York",10021,Multifamily Housing,,1957,224756,1,16,166.9,37512520.7,58.07,6.72,,,,,,,,,,,,,
2032490098,2015334,2785 University Avenue,10468,Multifamily Housing,32,1927,78300,1,6,128,10024854.1,,5.43,,,,,,,,,,,,,
1014640021,1045585,445 East 69th ST,10021,Office,90,1954,105999,1,10,145.2,15394256.5,,5.66,Office,"{'Residence Hall/Dormitory': 50148.0, 'Office': 55851.0}",0,2838783.9,,,4641922.8,5.01334,,,,,
1008040024, 1087590 ,121 W 28th St,10001,Hotel,64,2008,81231,1,23,191,15517482.1,55.45,6.09,,,,,,,,,,,,,
4041450001,4462126,140-01 20th Avenue,11357,Other - Mall,,2000,79800,2,1,255.1,20358399,,7.74,,,,,,,,,,,,,
2023270054,2000851,384 East 149th Street,10455,Office,,1930,81410,1,6,117.6,9571372.5,,4.04,Office,"{'Other': 23260.0, 'Office': 58150.0}",0,2221894.4,,2540400,,2.3,,,,,
3064947501,3394126,622 Foster Avenue,11230,Multifamily Housing,100,2008,65000,1,7,61.2,3978075.9,31.67,2.22,,,,,,,,,,,,,
1000930020,1001281,156 William Street,10038,Office,,1955,240644,,,156.6,37679614.2,,6.68,,,,,,,,,,,,,
2031900056,2014131,2501 Morris Ave,10468,Multifamily Housing,90,1960,69800,1,6,91,6353469,,6.26,,,,,,,,,,,,,
1014680005,,405 East 73rd Street,10021,Hotel,51,1991,76776,1,11,233,17885775.8,,8.31,,,,,,,,,,,,,
4011650058,4026293,32-45 69th Street,11377,Multifamily Housing,45,1965,67810,1,6,136.7,9269976.6,90.59,5.3,,,,,,,,,,,,,
1000100023,1000027,1 Whitehall Street,10004,Office,72,1964,329991,1,21,211.2,69698849.6,12.06,7.57,Office,"{'Convenience Store without Gas Station': 7231.0, 'Office': 322760.0}",0,17916666.9,,,17732354.8,2.64903,,,,,
1011130047,1027193,1855 Broadway,10023,College/University,,1905,78285,1,12,339.4,26567697,21.72,13.1,,,,,,,,,,,,,
3060560033,3153884,665 88 Street ,11228,Multifamily Housing,75,1928,65600,1,4,100.9,6618534.9,0,4.47,,,,,,,,,,,,,
5000030001,5000009,"350 Richmond Terrace, 45 Carroll Place",10301,Multifamily Housing,89,1960,145446,1,7,100.7,14644168.5,23.3,4.07,,,,,,,,,,,,,
2031340014,2013274,984 Bronx Park South,10460,Multifamily Housing,17,1924,52030,1,5,153.7,7998720.7,,8.28,,,,,,,,,,,,,
1019010001,1057392,1921 Seventh Avenue,10026,Multifamily Housing,64,1920,205030,1,8,132.6,27180258.4,,7.96,,,,,,,,,,,,,
2038380159,2027187,1170 Commerce Avenue,10462,Distribution Center,86,1967,152000,1,1,56.2,8535786.5,3.19,1.98,Distribution Center,,0,1652812.7,,2337139.8,,,,,,,
1010480026,1026051,309-11 West 57th Street,11019,Multifamily Housing,,1928,75617,1,16,146.1,11051090.9,,7.38,,,,,,,,,,,,,
2026967501,2005345,864 Hewitt Place,10459,Multifamily Housing,79,2010,98592,1,8,107.8,10625968.5,60.02,3.88,,,,,,,,,,,,,
2058560378,"2091886;2091885",6485 - 6495 Broadway,10471,Multifamily Housing,12,1961,127000,3,6,162.9,20687773,,10.27,,,,,,,,,,,,,
1008960039,1019521,210 East 15th Street,10003,Multifamily Housing,61,1963,145919,1,14,129.9,18950700.7,,5.42,Multifamily Housing,,0,,752,,,,376,,,,
1012320014,1033105,215 West 84th Street,10024,Multifamily Housing,16,1925,110000,1,5,183.5,20188195.7,,6.97,Multifamily Housing,"{'Multifamily Housing': 104800.0, 'Retail Store': 5200.0}",0,3282158,154,,,,128,,,,
3053050051,"3123574     	",36 Dahill Road,11218,Multifamily Housing,85,1950,79050,1,6,111.3,8799339,43.54,4.45,,,,,,,,,,,,,
4098240043,4210164,170-06 88 Avenue ,11432,Multifamily Housing,100,1962,59160,1,6,68,4025773.4,,2.02,,,,,,,,,,,,,
1015140001,1047926,1021 Park Ave,10028,Multifamily Housing,84,1929,130864,1,14,113.1,14796936.7,,5.52,Multifamily Housing,"{'Multifamily Housing': 128264.0, 'Other': 2600.0}",0,2564138.8,106,6200,,,29,,,,8289664.2
4002970001,4436714,34-35 Review Ave,11101,Other,,1937,160000,2,2,192.4,30788326.1,,7.58,Other,,0,5227184.1,,12523438.6,,,,,,,
1008680010,1017228,10 East 39th Street,10016,Office,19,1920,82997,1,12,318,26394185,,10.68,Office,,0,,,6591.8,,2.16875,,,,,3394264.5
1013920069,1041848,969 Fifth Avenue,10075,Multifamily Housing,,1926,38106,1,16,146.3,5574150.7,,5.88,,,,,,,,,,,,,
1003457502,1088333,196 STANTON STREET ,10002,Multifamily Housing,92,1950,59018,1,8,98.1,5787369.3,,3.42,,,,,,,,,,,,,
2024080052,2126620,383 E 162 St. ,10451,Multifamily Housing,81,2012,250000,1,10,110.6,27659282,56.48,4.17,,,,,,,,,,,,,
1015890019,1051377,25 East End Ave,10028,Multifamily Housing,80,1928,89264,1,15,119.5,10668443.2,20.17,4.78,Multifamily Housing,,0,1498371.4,,101953.1,,,39,,4904709.5,,
2024760022,2002915,975 Walton Ave,10452,Multifamily Housing,58,1927,279000,1,6,114.4,31909509.2,,4.64,,,,,,,,,,,,,
2026570030,2004700,761 East 160th St,10456,DCAS - Library,,1914,16524,1,3,185.2,3060684.1,,4.89,,,,,,,,,,,,,
1006970031,1012384,259 Tenth Avenue,10019-5993,K-12 School,71,1928,214783,1,10,160.8,34526951.9,1.17,4.88,,,,,,,,,,,,,
1010427502,1087538,310 W. 52nd Street,10019,Multifamily Housing,11,2006,216153,1,42,178.1,38502478.5,,6.16,Multifamily Housing,,0,9129260.9,,2905437,7913286.5,,210,,,,
4014897501,4036807,78-14 Roosevelt Avenue,11372,Mixed Use Property,,1935,67000,2,2,115.5,7739844,,4.52,,,,,,,,,,,,,
2023400186,,321 Rider Ave,10451,Distribution Center,5,1926,104000,5,1,183.9,19129211.1,11.35,5.93,,,,,,,,,,,,,
3074220146,3203205,2825-2883 Ocean Avenue,11235,Multifamily Housing,93,1949,159996,1,6,85.4,13667535.8,,3.38,,,,,,,,,,,,,
2032460056,2015229,3850 Sedgwick Avenue,10463,Multifamily Housing,91,1955,141055,1,14,108.7,15337325.2,,4.53,,,,,,,,,,,,,
1012237504,1032528,134 West 93rd Street,10025,Multifamily Housing,57,1925,56008,1,9,126.3,7071028.9,,3.34,Multifamily Housing,,0,740204.1,75,119820,,,53,,,,3727447.7
2028310020,2007975,200 Marcy Place,10456,Multifamily Housing,40,1924,56912,1,6,137.6,7833554.4,157.97,5.64,Multifamily Housing,,0,1021720.7,69,4102435.8,,,55,,,,
1008200038,1015451,130 Fifth Avenue,10011,Office,96,1904,234767,1,11,109,25584371.8,,3.27,,,,,,,,,,,,,
1009350006,"1081677;1020614",301 East 29th Street,10016,K-12 School,31,2001,71000,1,7,213.1,15132429.4,19.72,6.6,K-12 School,,0,3881041.8,,2844085.9,,,,,,,
2033150054,2017463,2825 Grand Concourse,10468,Multifamily Housing,79,1926,89580,1,6,106.2,9513260.9,88.31,4.48,Multifamily Housing,,0,1023512.9,118,6302932.6,,,59,,,0,
3046670001,3101761,9201 Kings Highway,11212,Multifamily Housing,28,1952,64403,1,6,156.1,10052921.8,,6.27,Multifamily Housing,,0,1417021.6,88,5611513.7,,,72,,,0,
3053570005,3125448,260 Ocean Parkway,11218,Multifamily Housing,32,1938,86000,1,6,146,12556432.7,57.43,6.27,Multifamily Housing,,0,998991.1,91,8322794.8,,,76,,,,
1015540023,"1087665;1050218",333 East 91st Street,10128,Multifamily Housing,2,2009,244249,1,32,216.9,52989796.4,,7.07,Multifamily Housing,"{'Multifamily Housing': 235704.0, 'Retail Store': 8545.0}",0,7631210.1,258,10458099.9,,,128,,,,
1005530001,1077834,2 Washington Square Village,10012,Multifamily Housing,1,1960,305587,1,1,223.4,68262708.4,,9.75,,,,,,,,,,,,,
2024430190,"X151-2002458, X156-2002454",250 East 156th Street,10451,K-12 School,37,1971,319200,1,4,160,51077297.7,,4.25,,,,,,,,,,,,,
2032250156,2014963,2304 Sedgewick Avenue,10468,Multifamily Housing,3,1927,68800,1,6,196.1,13491712.5,,9.67,Multifamily Housing,,0,,,,,,,,5538034.4,,
4076440002,4440569,61-60 223 PLACE,11364,Multifamily Housing,,1949,14900,50,2,145.9,2173259.1,,6.17,Multifamily Housing,,0,15316.5,39,1727896.1,,,19,,,,
4076600002,"4444399 ;    4452965;4459195 4459227;4444399  ;4459230 ;4452915 ;4452916 ;4452917 ;4452918 ;4452919 ;4452921;4452922 ;4452923;4452924;4452925  4452926 ;4452927 ;4452928;4452929 ;4452930 ;4452931 ;4452932 ;4452950 ;4452951 ;4452952  ;4452953 ;4452954  ;4452955;4452956  ;4452957",224 30A 64 AVENUE,11364,Multifamily Housing,94,1949,27600,89,2,90.2,2488818.1,,3.83,Multifamily Housing,,0,107996.4,76,1480273.9,,,35,,,,
4015080011,4037276 ,"42-22 Ketcham Street,",11373,Multifamily Housing,82,1926,99876,1,6,116.8,11664241.4,,4.99,,,,,,,,,,,,,
4026810084,4059939,58-54 59 STREET,11378,Refrigerated Warehouse,40,1961,21800,2,2,272,5930573.8,144.12,7.58,,,,,,,,,,,,,
1008680025,1017231,261 Madison Avenue,10016,Office,69,1954,351823,1,28,202.9,71384456.9,68.17,6.84,,,,,,,,,,,,,
4034100145,4081478,1819 Flushing Avenue,11385,Distribution Center,4,1920,53660,1,2,176,9444695.8,0.01,4.83,Distribution Center,,0,94389.6,,1045300.1,,,,,,,
1000560001,10001063,130 Cedar Street,10006,Hotel,36,2009,183235,1,21,245.3,44943610,59.39,8.68,Hotel,,0,9445507.7,,820743.3,,,,,,,
3044920004,3098764,2784 Linden Boulevard,11208,Other - Entertainment/Public Assembly,,1998,69126,2,1.5,339.1,23440131,,9.61,,,0,6844149.2,,1745427.5,,,,,,,
2024430090,2002456,214 East 161st Street,10451,Other - Entertainment/Public Assembly,,1991,55000,2,2,337,18535635.2,,10.95,,,0,4582998.2,,4606550.2,,,,,,,
4120990030,4262620,14402 135Th Ave.,11436,Hotel,30,1988,210000,1,12,271.8,57081779.5,75.59,9.05,,,,,,,,,,,,,
4050020046,4113174,139-66 35th Avenue,11354,Senior Care Community,36,1974,87106,1,6,256.9,22377163.2,,11.95,,,,,,,,,,,,,
1010287502,1024898,224 West 57th St,10019,Office,81,1909,169416,1,11,171.2,29003172,,5.24,,,,,,,,,,,,,
1011860025,1031099,365 West End Ave.,10024,Multifamily Housing,65,1924,172225,1,15,108.6,18706665.3,36.82,5.68,Multifamily Housing,,0,2907740.4,,412200,,,,,,,10407904.8
1010080026,1023393,105 West 55 St.,10019,Multifamily Housing,2,1917,53837,1,9,200.5,10792153.7,162.83,9.73,Multifamily Housing,,0,1482237.6,,812300,,,,,,,4761327.1
1012610016,1034243,45 West 45th Street,10036,Office,75,1923,108929,1,16,173.4,18888569.1,,6.6,Office,"{'Retail Store': 16893.0, 'Office': 118931.0}",0,3725748.7,,,,2.3,,,5372800.1,,
2056550326,2083130,4275 Boston Road,10466,Non-Refrigerated Warehouse,50,1970,88664,2,1,150.6,13349181.4,,5.36,,,,,,,,,,,,,
1005960092,1010357,319 Spring Street,10014,Non-Refrigerated Warehouse,41,1960,265010,1,3,173.3,45933594.8,,6.85,,,,,,,,,,,,,
2056110027,2081725,545 Brush Ave,10465,Non-Refrigerated Warehouse,93,1983,98391,2,1,102.2,10059357.2,,2.71,,,,,,,,,,,,,
2023220111,2813806,215 Rider Ave,10454,Non-Refrigerated Warehouse,93,1980,79168,1,1,94.4,7476998.6,,3.27,,,,,,,,,,,,,
1013360031,1038670,3 UN Plaza,10017,Office,,1987,208203,1,15,280.1,58311105.5,27.34,8.01,Office,"{'Data Center': 4368.0, 'Office': 200547.0, 'Restaurant': 3288.0}",1,18558368.4,,,6748231.7,2.99182,,,,,
4015250001,4037980,79-18/79-02,11373,Multifamily Housing,100,1923,90000,1,5,63.1,5681090.7,,3.73,Multifamily Housing,,0,95431.6,,52700,,,72,,5034226.2,,
1015320001,1048787,201 E. 86th St,10028,Multifamily Housing,11,1987,195528,1,35,219.6,42933204.2,50.59,9.3,Multifamily Housing,"{'Multifamily Housing': 159552.0, 'Retail Store': 35976.0}",0,9851504.8,256,985428.4,,,256,,,,14301299.9
4004240001,4005062,24-02 Queens Plaza South,11101,Adult Education,,1949,74105,1,3,221.8,16436668.3,11.65,7.79,,,0,,,4872432.9,,,,,,,
3050590022,3116106,100 Woodruff Ave,11226,Multifamily Housing,63,1941,108549,1,6,112.5,12213489.5,48.1,4.85,Multifamily Housing,,0,1328250.1,120,7246391,,,90,,,,
3050260028,3114590,135 Ocean Ave,11225,Multifamily Housing,51,1928,72684,1,6,128.5,9340589.7,,5.5,Multifamily Housing,,0,1020040.2,93,6258826.5,,,73,,,,
3050580016,"3327277;3327276",20 Woodruff Ave,11226,Multifamily Housing,73,1955,101200,2,6,112.7,11407570.2,,5.05,Multifamily Housing,,0,1467388,125,7665672.5,,,107,,,,
3050260350,"3114671;3845478;3114670",231 Ocean Ave,11225,Multifamily Housing,77,1926,64165,1,6,114.4,7341831.1,44.05,4.87,Multifamily Housing,,0,859913.2,100,4870586.3,,,66,,,,
3050620014,3116136,395 Ocean Ave,11226,Multifamily Housing,87,1940,116873,1,6,92.7,10831586.8,53.25,3.83,Multifamily Housing,,0,1366155.6,134,7997431.1,,,98,,,,
3050620001,3116132,417 Ocean Ave,11226,Multifamily Housing,63,1927,74169,1,6,124,9195238.9,67.65,5.31,Multifamily Housing,,0,930042.6,110,6257892.8,,,67,,,,
3050990123,3117118,550 Ocean Avenue,11226,Multifamily Housing,45,1930,56430,1,6,118.9,6709896.6,76.26,5.03,Multifamily Housing,,0,716964.9,50,4050790.2,,,36,,,,
3050580044,3116088,33 Crooke Ave,11226,Multifamily Housing,59,1931,76670,1,6,118,9046029.4,42.02,5.19,Multifamily Housing,,0,797041.4,88,5968727.1,,,65,,,,
4005790087,4007123,31-74 29th Street,11106,Multifamily Housing,85,1940,93964,1,6,105.4,9905090.9,30.52,4.43,Multifamily Housing,,0,1107127.5,140,6576680.9,,,91,,,,
4005790082,4007122,31-62 29th Street,11106,Multifamily Housing,77,1940,93964,1,6,113.8,10690764.3,31.12,4.78,Multifamily Housing,,0,1150227.2,140,6328117.6,,,91,,,,
1013350005,1357969,320 East 43rd Street,10017,Office,65,1967,286300,1,11,190.7,54592605.6,,6.37,Office,"{'Data Center': 1100.0, 'Office': 286300.0}",1,13084971.8,,439700,8962481.8,0.96053,,,,,
3053580071,3125499,305 Ocean Parkway,11218,Multifamily Housing,84,1941,72800,1,6,95.2,6929520.9,108.87,3.95,Multifamily Housing,,0,807528.3,101.92,5100000,,,87.36,,,,
3066810449,3178665,1860 Ocean Parkway,11223,Multifamily Housing,90,1934,70000,1,6,85.2,5962900.9,45.11,3.56,Multifamily Housing,,0,634713.9,98,4052999.8,,,84,,,,
3065180005,3170811,902 Ocean Parkway,11230,Multifamily Housing,97,1949,81600,1,6,70.9,5783686.8,63.16,2.86,Multifamily Housing,,0,,114.24,3846800.1,,,97.92,,,,
3053580077,3125500,295 Ocean Parkway,11218,Multifamily Housing,93,1927,110957,1,6,90.7,10059849,66.32,3.73,Multifamily Housing,,0,1176952.3,148,6355100.2,,,77,,,,
3065420070,3171795,1225 Ocean Parkway,11230,Multifamily Housing,92,1942,147000,1,6,82.3,12103824.5,39.37,3.31,Multifamily Housing,,0,1759998.3,205.8,8592099.9,,,176.4,,,,
3007290072,,405 44th Street,11220,Multifamily Housing,,2008,67415,1,6,118.5,7987078.5,58.11,4.98,,,,,,,,,,,,,
1015837501,1051311,496-500A East 87th Street,10128,Multifamily Housing,82,1963,115664,1,16,125.2,14481404.9,,7.19,,,,,,,,,,,,,
3002500001,3002094,26 CT STREET,11242,Office,91,1930,293000,1,29,161,47167853,20.33,5.38,Office,,0,13014391.8,,2051370,,4.43686,,,,,
4053740023,4121264,144-44 Sanford Ave,11355,Multifamily Housing,44,1928,54491,1,6,126.2,6877297.7,137.29,3.3,,,,,,,,,,,,,
4008580005,4018351,21-21 Crescent Street,11105,K-12 School,98,1962,273124,1,3,69,18851418.4,2.7,2.95,,,,,,,,,,,,,
4053070024,4120003,189-14 Crocheron Ave,11358,Multifamily Housing,27,1956,96881,1,6,142,13754595,35.34,3.72,Multifamily Housing,,0,1269414.9,123,664227.5,,,109,,,,8741250.1
4051860029,4117154,140-60 Beech Ave,11355,Multifamily Housing,11,1959,96774,2,6,164.5,15919670.4,62.87,4.31,,,,,,,,,,,,,
4013360001,4031441,61-15 43 Ave,11377,Multifamily Housing,67,1962,85568,1,6,105.2,8997555.8,40.15,2.85,,,,,,,,,,,,,
1010500049,1070031,440 West 41st Street,10036,Multifamily Housing,3,1987,64662,1,14,190.9,12342861.2,26.38,5,,,,,,,,,,,,,
4092490040,4193248,84-70 129th Street,11415,Multifamily Housing,12,1969,107250,1,6,161.5,17320601.8,45.36,4.23,,,,,,,,,,,,,
1008180059,1015397,14 west 17 th street,10011,Other - Lodging/Residential,,1906,52000,1,12,80.4,4181294.7,18.07,3.24,,,0,,,,,,,,,,
4051850017,"4443486;4443487",140-30 Ash Ave,11355,Multifamily Housing,52,1939,151584,2,6,120.1,18212103.2,76.55,3.15,,,,,,,,,,,,,
3019590027,3055929,80 Greene Avenue,11238,Multifamily Housing,56,1982,88741,1,7,126.2,11196426.6,64.32,4.76,Multifamily Housing,,0,1936077.6,96,6046976.6,,,97,,,,
3017080001,"3850578;3338126;3338127;3338128;3338129;3338130;3338135;3338136;3338137;3338138;3338139;3338140;3338141;3338143;3338144;3338145;3338146;3338147;3338148;3338149;3338154;3338124;3338125;3850569;3850570;3850571;3850572;3850573;3850574;3850575;3850576;3850577;3850579;3850580;3850581;3850582;3850583;3850584;3850586;3850587;3850588;3850589;3850590;3850591",41 Utica Avenue,11223,Multifamily Housing,93,1982,209963,22,3,93.8,19688605.1,,3.92,Multifamily Housing,,0,114192.6,500,14163368.1,,,209,,,,
2030970016,2012736,2160 Clinton Avenue,10457,Multifamily Housing,69,1927,108790,1,6,118.6,12903711.2,,4.84,Multifamily Housing,,0,961940.6,160,7415437.1,,,86,,,,
2026150057,2004312,1211 Boston Road,10456,Multifamily Housing,,1910,67698,1,6,184.9,12515533.7,109.3,6.96,Multifamily Housing,"{'Multifamily Housing': 66138.0, 'Supermarket/Grocery': 700.0, 'Office': 860.0}",0,2117381,100,5563605.1,,2.3,60,,,,
3019460004,"3341954;3341955;3255179;3341956;3341944",379 Washington Avenue,11238,Multifamily Housing,11,1905,95280,5,7,198.2,18884264.3,,7.78,Multifamily Housing,,0,1127975.4,184,9883966.9,,,86,,,,
1008410089,1016060,80 West 40th Street,10018,Office,44,1910,66112,1,10,243.1,16072107.7,38.35,9.67,Office,"{'Office': 63676.0, 'Restaurant': 2436.0}",0,4007794.8,,3322.3,,3.17231,,,,4212587.9,
2032810040,2016459,357 E 201st Street,10458,Multifamily Housing,56,1947,50000,1,6,143.8,7191581.3,0.63,10.09,Multifamily Housing,,0,138178,87,,,,63,,,,7254149.8
1008160023,1015290,25 West 14th Street,10011,Other - Mall,,1925,40838,1,2,237.7,14710569.8,50,10.57,,,0,5091202.1,,1663640,,,,,,,
1006450035,1082469,410 West 13th Street,10014,Office,21,2010,29170,1,5,280.1,17829717.1,63.44,17.61,Office,"{'Retail Store': 29729.0, 'Office': 33920.0}",0,5301742.9,,1221880.2,,2.06368,,,,,
2022900110,2086382,420 East 146th Street,10455,Multifamily Housing,12,1905,69394,1,4,170.5,11834692.7,79.35,6.96,Multifamily Housing,,0,1745802.1,128,6739433.1,,,71,,,,
1008167503,1087941,50 West 15th Street,10011,Multifamily Housing,35,2008,69630,1,10,146.4,10196360.2,,4.94,Multifamily Housing,,0,1708481.3,94,2784170.2,,,47,,,,
3067210058,3180183,1520 Ocean Avenue,11230,Multifamily Housing,97,1929,62200,1,6,78.3,4870911.6,76.05,3.21,,,,,,,,,,,,,
1021790156,1064345,186 Pinehurst Avenue,10033,Multifamily Housing,62,1920,65352,1,6,125.6,8205820.7,55.85,7.47,Multifamily Housing,,0,480399,92,,,,65,,5757363.8,,
1019017501,1086531,106 West 117th Street,10026,Multifamily Housing,6,2005,51671,1,6,194.3,10040385.7,,6.65,Multifamily Housing,"{'Multifamily Housing': 47040.0, 'Financial Office': 4631.0}",0,1167917.4,45,2057799.9,,,28,,,,
1019027501,1057433,101 West 117th Street,10026,Multifamily Housing,28,2005,36269,1,6,153.3,5558973,,5.33,Multifamily Housing,"{'Multifamily Housing': 33493.0, 'Bank Branch': 2776.0}",0,1164177.8,35,1400599.9,,,23,,,,
1012750044,1035320,52 East 41st Street,10017,Hotel,7,1910,67140,1,14,237.9,15974001,89.3,7.57,,,,,,,,,,,,,
1011220047,1028516,30 West 70th Street,10023,Multifamily Housing,,1916,58370,1,9,111.1,6483031.8,33.11,5.84,,,,,,,,,,,,,
2039220032,2028660,1505 Leland Avenue,10460,Multifamily Housing,19,1928,66000,1,5,150.1,9908794.4,,7.38,Multifamily Housing,,0,719672.7,65,503500,,,59,,4377941.3,,
2033290085,2-03329-0085,3600 Jerome Avenue,10467,Other - Services,,1929,77220,1,2,134.2,10363719.9,,4.33,,,0,3034919,,216290.3,,,,,,1859594.6,
1013100012,,127 East 55th Street,10022,Hotel,4,1985,76190,1,36,220.3,16782493.9,33.63,6.12,Hotel,,0,4674439.6,,466242.7,,,,,,,
1012780065,,6 East 44th St.,10017,Hotel,15,1989,65000,1,14,303.6,19736487.3,,8.55,Hotel,,0,,,,,,,,,,
4014370032,4035427,89-07 34th Avenue,11372,Multifamily Housing,78,1930,90000,1,6,126.9,11422976.6,73.6,5.61,Multifamily Housing,,0,939763.1,168,7571232.5,,,132,,,,
2027610083,2006367,916 Faile St,10474,Multifamily Housing,34,1926,57840,1,5,134.1,7757640.4,190.82,5.47,Multifamily Housing,,0,379544.7,,175246.7,,,,,,3890496,
2026860001,2005121,920 Ave St John,10455,Multifamily Housing,1,1912,56952,1,6,187.8,10696937.6,22.01,9.27,,,,,,,,,,,,,
