bbl,bin,address,zipcode,bldgtype,ess,year,gfa,numbldgs,numfloors,eui,energy,wui,ghg,primary_type,other_types_dict,has_datacenter,electricity,bedrooms,natural_gas,steam,worker_dens,res_units,diesel,fuel_4,fuel_2,fuel_5_6
1021260001,1063014,565 West 169th Street,10032,Multifamily Housing,0,1910,84100,1,6,90.3,,,4.08,Multifamily Home,"{'Multifamily Home': 75302.0, 'Retail': 8800.0}",0,1654451.5,114,90552,,,54,,,,6364091.61
3061370200,"3337199;3337198;3337203;3337202;3337201;3337191;3337190;3337193;3337192;3337194;3337197;3337196;3337189;3337186;3337195;3337200",302 - 340 101st St,11209,Multifamily Housing,0,1983,54430,16,3,129.1,,,3.41,,,,,,,,,,,,,
3061150001,3155518,9437 Shore Road,11209,Multifamily Housing,0,1940,57600,1,6,151.2,,,5.92,Multifamily Home,,0,897096.69,65,3153600,,,55,,,,
1013477501,1039961,300 East 55th St,10022,Multifamily Housing,0,2004,188598,1,31,200,,,6.83,Multifamily Home,"{'Multifamily Home': 183634.0, 'Retail': 4964.0, 'Parking': 10773.0}",0,8759105.53,250,8750986.32,,,119,,,,
1018337502,1074772,372 Central Park West,10025,Multifamily Housing,0,1961,323725,1,19,134.6,,,6.99,Multifamily Home,,0,7402760.5,753,10886820,,,392,,,,19524955.51
1018930001,1057298,360 Riverside Drive,10025,Multifamily Housing,0,1906,53295,1,13,90.2,,,4.82,Multifamily Home,,0,701875.59,53,44441.74,,,36,,,,3830436.45
1015627501,"1087459;1050426;1050447",450 East 83rd Street,10028,Multifamily Housing,0,2005,184850,1,27,213.8,,,7.31,Multifamily Home,"{'Multifamily Home': 180466.0, 'Office': 4384.0, 'Parking': 13924.0}",0,8318812.76,175,10903328.91,,2.3,123,,,,
1005720017,1009416,38-50 W 9th St,10011,Multifamily Housing,0,1900,73098,3,6,114.1,,,5.95,Multifamily Home,,0,810967.57,54,42189,,,54,,,,5660695.95
1001887502,1002124,62 Beach Street,10013,Multifamily Housing,0,1915,76176,1,8,205.5,,,7.16,Multifamily Home,"{'Multifamily Home': 70771.0, 'Retail': 5405.0}",0,3079060.13,75,51346223.48,,,36,,,,
1005770030,1009714,13 W 13 St,10011,Multifamily Housing,0,1962,100320,1,6,90.8,,,4.67,Multifamily Home,"{'Multifamily Home': 95115.0, 'Retail': 5200.0}",0,1576504.36,96,236670,,,74,,,,3483658.98
1022480001,1065063,91 Payson Avenue,10034,Multifamily Housing,0,1935,82222,1,6,138.5,,,7.78,Multifamily Home,,0,1164536.07,116,182133,,,72,,,,5781645.87
1004467502,1006221,99 E 4th St,10003,Multifamily Housing,0,1929,75781,1,6,148,,,7.64,Multifamily Home,"{'Multifamily Home': 67764.0, 'Office': 8018.0}",0,1486953.11,108,78822.23,,2.3,66,,,,4264981.73
1005690001,1009272,43 Fifth Ave,10038,Multifamily Housing,0,1903,64220,1,11,147,,,7.88,Multifamily Home,,0,1394738.81,82,32574.94,,,42,,,,3991497.18
1005617502,1009095,28 E. 10th Street,10003,Multifamily Housing,0,1928,155646,1,15,133.6,,,6.63,Multifamily Home,"{'Multifamily Home': 144516.0, 'Retail': 11130.0}",0,923044.95,172,40131,,,107,,,,6636528.32
1010537503,1087703,464 W 44th Street,10036,Multifamily Housing,0,1964,53951,1,9,294.4,,,10.1,Multifamily Home,"{'Multifamily Home': 43714.0, 'Retail': 10237.0}",0,3403349.81,71,2948085,,,58,,,,
1001407502,1075706,311 Greenwich St,10013,Multifamily Housing,0,1988,66167,1,10,161.6,,,5.83,Multifamily Home,"{'Multifamily Home': 57567.0, 'Retail': 8600.0}",0,1901596.31,67,45733905,,,65,,,,
3020610040,3058255,122 Ashland Place,11201,Multifamily Housing,0,1958,187668,1,15,126.5,,,4.84,Multifamily Home,,0,3008647.01,267,10996600,,,183,,,,
3060990001,3322544,15/25/35 Oliver St,11209,Multifamily Housing,0,1951,230195,2,6,55.5,,,2.06,Multifamily Home,,0,1662592.54,376,1345400,,,235,,,,
3011727502,3395389,1 Grand Army Plaza,11238,Multifamily Housing,0,2006,163132,1,15,72.6,,,2.96,Multifamily Home,"{'Multifamily Home': 163132.0, 'Parking': 4731.0}",0,1647313.6,207,5776100,,,92,,,,
1016387501,1087779,161 E. 110th Street,10029,Multifamily Housing,0,2006,54255,1,8,123.8,,,4.75,,,,,,,,,,,,,
1002147502,1002803,145 Hudson St,10013,Office,0,2004,104018,1,16,156.1,,,7.76,Office,"{'Multifamily Home': 44675.0, 'Retail': 1592.0, 'Office': 57751.0}",0,2464828.8,38,18700,,2.3,21,,,,8278333.72
1010647502,1087506,421 W. 54th Street,10019,Multifamily Housing,0,1928,72090,1,6,181.2,,,5.72,Multifamily Home,"{'Multifamily Home': 49284.0, 'Retail': 12380.0, 'Office': 10426.0, 'Parking': 2086.0}",0,3103493.78,45,1408300,,2.3,27,,,,
3011790096,"3029636;3829328",41 Eastern Parkway,11238,Multifamily Housing,0,1926,125315,1,12,95.4,,,5.13,Multifamily Home,"{'Multifamily Home': 124300.0, 'Medical Office': 1000.0}",0,1624462.89,132,,,,62,,6234970.12,1191628.78,
4050397502,4438132,41-05 College Point Blvd,11354,Multifamily Housing,0,2002,46305,4,7,176.5,,,6.28,Multifamily Home,"{'Multifamily Home': 35790.0, 'Retail': 10515.0, 'Parking': 13000.0}",0,1344242.7,94,2989245,,,47,,,,
1012337502,1033131,255 W. 85th Street,10024,Multifamily Housing,0,1986,70563,1,21,85,,,3.21,Multifamily Home,,0,764424.48,72,3328200,,,38,,,,
1012440019,"1033720;1806818",411 West End Ave,10024,Multifamily Housing,0,1936,147290,1,20,70.4,,,4.84,Multifamily Home,,0,2264476.16,106,147600,,,91,,,,9352662.44
5003270060,5008972,1100 Clove Road,10301,Multifamily Housing,0,1967,127500,1,9,169.5,,,6.88,Multifamily Home,,0,2955474.4,168,12522300,,,145,,,,
4033607501,4080169,125-10 Queens Blvd.,11415,Multifamily Housing,0,1960,495489,1,27,114,,,4.88,Multifamily Home,"{'Multifamily Home': 419528.0, 'Retail': 14252.0, 'Office': 61709.0, 'Parking': 115275.0}",0,11424167.58,406,1093800,,2.3,376,,,,23506947.05
3020610080,"3058257;3058256;3831266",175 Willoughby St,11201,Multifamily Housing,0,1958,187665,1,15,128.2,,,4.81,Multifamily Home,,0,3082131.25,267,12068500,,,183,,,,
2032400044,,170 w kingsbridge rd,10463,Multifamily Housing,0,1973,98000,1,6,115,,,4.56,,,,,,,,,,,,,
3087210375,3245726,1311 Brightwater Ave,11235,Multifamily Housing,0,1959,288550,1,16,75.6,,,2.96,Multifamily Home,,0,2160205.44,444,36338300,,,208,,,,
5003270015,5008970,1000 Clove Road,10301,Multifamily Housing,0,1966,127488,2,10,207.4,,,8.23,Multifamily Home,,0,3268013.6,187,14146400,,,165,,,,
3020610060,"3058256;3058257",191 Willoughby St,11201,Multifamily Housing,0,1958,187668,1,15,132.3,,,5.13,Multifamily Home,,0,3122457.68,267,10714600,,,183,,,,
1006360022,1011980,165 Christopher St,10014,Multifamily Housing,0,1964,165435,1,7,117.7,,,6.21,Multifamily Home,,0,3054325.54,242,865997.55,,,214,,,,9015293.85
1012097501,1031724,353 Central Park West,10025,Multifamily Housing,0,1992,37512,1,21,214.1,,,7.5,Medical Office,"{'Multifamily Home': 0.0, 'Medical Office': 1366.0}",0,1553827.08,0,2507519.48,,,0,,,,
1011420048,1029776,140 W 71 Street,10023,Multifamily Housing,0,1924,57085,1,9,96,,,5.73,Multifamily Home,,0,1135476.02,89,,,,71,,5074408.01,,
1018337504,1055288,400 Central Park West,10025,Multifamily Housing,0,1961,390625,1,19,124.6,,,7.04,Multifamily Home,,0,6571500.99,493,14262271.94,,,414,,,,23043051.36
2057360006,2083403,3050 Fairfield Avenue,10463,Multifamily Housing,0,1958,111015,1,8,124.9,,,7.32,Multifamily Home,,0,1702766.94,126,339585.49,,,74,,,,8452124.39
2057850268,2084073,3299 Cambridge Ave,10463,Multifamily Housing,0,1954,111658,1,6,125.9,,,7.39,Multifamily Home,,0,1674680.37,167,425003.55,,,84,,,,7450525.94
3087210360,3245725,35 Sea Coast Terrace,11235,Multifamily Housing,0,1962,404150,1,20,117.6,,,4.7,Multifamily Home,,0,2160205.44,560,45230900,,,383,,,,
1000640008,1001084,55 Liberty Street,10005,Multifamily Housing,0,1909,167428,1,33,88.5,,,2.74,Multifamily Home,"{'Multifamily Home': 160392.0, 'Retail': 7056.0}",0,1612495.88,137,102450.85,8512462.52,,87,,,,
1015057502,1047171,40 E 94 Street,10128,Multifamily Housing,0,1983,304071,1,32,155.1,,,7.71,Multifamily Home,"{'Multifamily Home': 290169.0, 'Retail': 13902.0, 'Parking': 29790.0}",0,8449145.84,408,522732,,,208,,,,2198568.53
1005920066,1010249,136 Waverly Place,10014,Multifamily Housing,0,1929,103984,1,16,95.6,,,4.8,Multifamily Home,"{'Multifamily Home': 100572.0, 'Retail': 3412.0}",0,1577905.35,107,5344170.14,,,76,,,,4335289.17
4001850027,4002389,41-12 41st Street,11104,Multifamily Housing,0,1941,79015,1,6,120.6,,,7.23,Multifamily Home,,0,1049481.07,95,106348.3,,,83,,,,6510488.92
3074407501,"3204172;3823373",2900 Ocean Avenue,11235,Multifamily Housing,0,1957,146706,1,6,76.8,,,4.6,Multifamily Home,,0,1239009.8,104,,,,88,,,,7030813.09
4097140152,4207809,141-60 84th Road,11435,Multifamily Housing,0,1955,68906,1,6,124.4,,,4.81,Multifamily Home,,0,1004794.38,116,5308630.11,,,79,,,,
4021390007,4432054,104-20 68th Drive,11375,Multifamily Housing,0,1956,117000,2,6,124.9,,,7.09,Multifamily Home,,0,602678.9,136,793800,,,104,,,,5989619.09
3052180001,3120562,1818  Newkirk Ave,11226,Multifamily Housing,0,1958,152466,1,6,126.8,,,4.88,Multifamily Home,,0,2149156.83,134,11643898.45,,,134,,,,
3053200001,3124031,71 Ocean Parkway,11218,Multifamily Housing,0,1936,88946,1,6,122.4,,,4.79,Multifamily Home,,0,1220688.02,96,6498533.32,,,78,,,,
3053200046,3124034,81 Ocean Parkway,11218,Multifamily Housing,0,1938,92805,1,6,111.2,,,4.36,Multifamily Home,,0,1165256.11,118,6102069.58,,,80,,,,
3058720007,3145668,315 Ovington Avenue,11209,Multifamily Housing,0,1962,76690,1,6,112.4,,,4.87,Multifamily Home,,0,1213335.27,115,63872026.85,,,102,,,,
3052470016,3121586,645 East 26th. Street,11210,Multifamily Housing,0,1931,78660,1,6,112.2,,,4.52,Multifamily Home,,0,702831.69,79,5521834.28,,,66,,,,
3061250001,3155816,185 Marine Avenue,11209,Multifamily Housing,0,1927,52141,1,6,136.5,,,5.36,,,0,,,,,,,,,,
3060780031,3154422,20 & 40 89th Street,11209,Multifamily Housing,0,1950,61030,1,6,121.6,,,4.96,Multifamily Home,,0,439029.63,90,54736758.77,,,72,,,,
1011450001,1030007,175 W. 73 Rd St.,10023,Multifamily Housing,0,1926,155685,1,15,98.6,,,5.51,Multifamily Home,"{'Multifamily Home': 147659.0, 'Retail': 8026.0}",0,2141877.28,158,186770.14,,,147,,,,7267314.43
1000537501,1001050,120 Greenwich St.,10006,Multifamily Housing,0,1920,65809,1,13,117.4,,,5.41,Multifamily Home,"{'Multifamily Home': 61126.0, 'Retail': 4683.0}",0,1367251.14,107,130645.66,,,103,,,3352328.04,
3052190040,3120576,601 E 19th Street,11226,Multifamily Housing,0,1942,132000,1,6,100.1,,,3.9,Multifamily Home,,0,1476010.73,129,7164927,,,108,,,,
4013400001,4031589,63-11 Queens Blvd,11377,Multifamily Housing,0,1963,136944,1,6,126.6,,,4.73,Multifamily Home,,0,2651805.3,174,10515433.48,,,163,,,,
5035857501,5095450,100 Colfax Avenue,10306,Multifamily Housing,0,1961,134673,1,7,133.3,,,4.91,Multifamily Home,,0,2513660.46,289,8357803.55,,,161,,,,
3068010001,3183130,1717 East 18th Street,11229,Multifamily Housing,0,1957,105005,1,6,105.5,,,3.94,Multifamily Home,,0,1432729.51,160,6830203.26,,,104,,,,
5006317501,5089818,755 Narrows Road N,10304,Multifamily Housing,0,1987,68887,1,12,195.6,,,6.79,Multifamily Home,"{'Multifamily Home': 65911.0, 'Office': 2976.0}",0,2635181.37,117,5227685.13,,2.3,93,,,,
3073800024,3200950,2678 Ocean Avenue,11229,Multifamily Housing,0,1963,64123,1,6,105.7,,,4.19,Multifamily Home,,0,1088076.56,91,38088766.94,,,78,,,,
1004827502,1087081,210 Lafayette Street,10012,Multifamily Housing,0,2005,75705,1,11,227.8,,,8.08,Multifamily Home,"{'Multifamily Home': 63762.0, 'Retail': 11943.0}",0,3507222.1,84,7842174.97,,,52,,,,
3052790019,"3122645;3122655",185 Prospect Park SW,11218,Multifamily Housing,0,1959,77268,1,6,83.8,,,3.18,Multifamily Home,,0,843201.24,58,32003493.29,,,58,,,,
3053070070,3123699,40 Tehama Street,11218,Multifamily Housing,0,1939,98603,1,6,105.1,,,4.11,,,0,,,,,,,,,,
2059190448,2091925,3750 Hudson Manor Terrace,10463,Multifamily Housing,0,1954,163943,2,6,81.9,,,4.01,Multifamily Home,,0,2382821.38,212,41900,,,104,,,,9408796.38
1007960001,1014742,165 W 20th Street,10011,Multifamily Housing,0,1938,62157,1,6,97.6,,,5.15,Multifamily Home,"{'Multifamily Home': 57927.0, 'Retail': 4231.0}",0,869350.3,61,41200,,,58,,3661706.58,,
1010110042,1023757,120 Central Park S.,10019,Multifamily Housing,0,1942,135000,1,20,83.7,,,3.05,Multifamily Home,"{'Multifamily Home': 131768.0, 'Office': 3232.0}",0,2063860.8,115,4718994,,2.3,115,,,,
1011187502,1028167,22 West 66th Street,10023,Multifamily Housing,0,1986,55339,1,26,228.4,,,7.11,Multifamily Home,"{'Multifamily Home': 53535.0, 'Other': 1804.0}",0,2687869.77,69,3436193.92,,,25,,,,
3066810035,3178541,367 Ave S,11223,Multifamily Housing,0,1952,117885,1,6,114.9,,,4.53,Multifamily Home,,0,1331208.86,288,13917225,,,156,,,,
1008880037,1018480,165 East 32nd Street,10016,Multifamily Housing,0,1962,133708,1,20,83.3,,,2.54,Multifamily Home,"{'Multifamily Home': 123749.0, 'Retail': 8475.0, 'Medical Office': 1525.0}",0,3344193.86,173,343754.1,4131570.79,,135,,,,
1007710038,1014075,201 W 21 St,10011,Multifamily Housing,0,1963,80977,1,14,173,,,6.25,Multifamily Home,"{'Multifamily Home': 74425.0, 'Retail': 6552.0}",0,2415665.29,130,5620398,,,130,,,,
3060990013,3331025,9201 Shore Road,11209,Multifamily Housing,0,1960,262019,2,6,142.6,,,5.41,Multifamily Home,,0,4243541.93,525,19286547,,,255,,,,
2059190460,2091927,3850 Hudson Manor Terrace,10463,Multifamily Housing,0,1955,178001,2,6,77.8,,,3.83,Multifamily Home,"{'Multifamily Home': 178000.0, 'Parking': 10200.0}",0,2273610.08,212,426006,,,110,,,,9263147.52
1011690008,BIN#  1030881,233 West 77 Street,10024,Multifamily Housing,0,1923,108000,1,15,130.1,,,6.82,Multifamily Home,,0,2341877.6,,142161,,,,,,,7235124.16
1018697501,1075313,229 W 97th Street,10025,Multifamily Housing,0,1901,72520,1,7,132.6,,,6.89,Multifamily Home,"{'Multifamily Home': 67680.0, 'Other': 3669.0, 'Office': 1171.0}",0,1313565.52,86,56495.42,,2.3,56,,6455986.55,,
1004627501,1006645,24 East 7th Street,10003,Other,0,1960,88500,2,12,67.1,,,2.49,Other,"{'Multifamily Home': 36693.0, 'Other': 51807.0}",0,912981.53,50,3228836.03,,,35,,,,
1015197501,1048263,181 E 90 St,10128,Multifamily Housing,0,2003,176627,4,30,202.2,,,6.77,Multifamily Home,"{'Multifamily Home': 169874.0, 'Bank/Financial Institution': 6753.0}",0,7119398.48,209,13867935.69,,,90,,,,
3058810038,3146085,15 Mackay Place,11209,Multifamily Housing,0,1960,50401,1,6,117.9,,,4.61,Multifamily Home,,0,805691.63,75,3470394.54,,,69,,,0,
1012930059,1036076,600 Madison Avenue,10022,Office,61,1967,332608,1,25,229.6,,,8.61,Office,"{'Other': 11648.0, 'Office': 320960.0}",0,17949350.64,,,13960082.37,2.06,,,,,
1002240001,1087707,34 Desbrosses St,10013,Multifamily Housing,0,2007,285000,1,15,142.1,,,4.51,,,,,,,,,,,,,
1010190001,1086225,271 West 47th Street,10036,Multifamily Housing,0,2001,396240,1,52,215.8,,,8.16,,,,,,,,,,,,,
1007790057,22430,224 West 30 Street,10001,Office,89,1920,146566,1,14,125,,,3.62,Office,,0,4632717.25,,,,0.03,,,,,
1012810069,,555 Fifth Avenue,10017,Office,78,1953,244534,1,19,213.9,,,6.4,,,,,,,,,,,,,
1012950040,,630 3rd Avenue,10017,Office,81,1958,236023,1,22,163.1,,,5.0,,,,,,,,,,,,,
1008820003,,373 Park Avenue South,10016,Office,30,1910,104232,1,12,298.1,,,10.73,,,,,,,,,,,,,
1012410023,1033647,2508 Broadway,10025,Multifamily Housing,0,1902,60218,1,12,184.8,,,6.97,Multifamily Home,,0,2045235.24,100,4794841.92,,,100,,,,
1008790027,1018044,143-147 East 23rd St,10010,Multifamily Housing,0,1922,101857,1,22,211.4,,,6.65,Multifamily Home,,0,5217183.43,326,4978578.96,,,326,,,,
1012610019,BIN#  1034244,35 West 45th Street,10036,Office,72,1930,53250,1,12,158.3,,,6.19,Office,"{'Retail': 7400.0, 'Office': 45850.0}",0,2026349.38,,,,2.27,,,,1968963.68,
1018780012,BIN#  1056631,225 West 106 Street,10025,Multifamily Housing,0,1926,242197,1,16,128.6,,,7.14,Multifamily Home,"{'Multifamily Home': 236359.0, 'Retail': 5838.0}",0,4504390.32,,375219.35,,,,,,,17885304.09
1015080001,BIN#  1047460,903 Park Avenue,10075,Multifamily Housing,0,1912,112528,1,17,146.9,,,8.33,Multifamily Home,,0,2296933.2,,325033.45,,,,,,,9767665.66
4002430035,2773304,43-20 34th Street,11101,Warehouse (Unrefrigerated),0,1931,53816,1,4,137.2,,,4.96,Warehouse (Unrefrigerated),"{'Data Center': 113.0, 'Warehouse (Unrefrigerated)': 27724.0, 'Other': 12262.0, 'Office': 13717.0, 'Parking': 2946.0}",1,1002935.39,,3972128.83,,1.6,,,,,
1008180027,1080631,15 West 16th Street,10011,Entertainment/Culture,0,1996,135000,3,3,294.3,,,10.34,,,,,,,,,,,,,
4005970001,,26-80 30th Street,11102,Multifamily Housing,0,1929,103000,1,7,90.4,,,5.1,,,,,,,,,,,,,
1019950010,,55 Tiemann Place,10027,Multifamily Housing,0,1926,65496,1,6,110.1,,,6.55,,,,,,,,,,,,,
1019950005,,69 Tiemann Place,10027,Multifamily Housing,0,1926,69840,1,6,101.6,,,5.55,,,,,,,,,,,,,
4051820044,,140-37/45/59 Ash Avenue,11355,Multifamily Housing,0,1950,104000,1,6,125.1,,,7.69,,,,,,,,,,,,,
4019580026,,58-35 Granger Street,11368,Multifamily Housing,0,1962,86400,1,6,114.7,,,6.0,,,,,,,,,,,,,
4023190010,,47-30/50 59 street,11377,Multifamily Housing,0,1970,239190,3,9,113.5,,,4.94,,,,,,,,,,,,,
3025400001,,184 Franklin Street,11222,Multifamily Housing,0,1930,78210,1,6,81.2,,,5.3,,,,,,,,,,,,,
1008830001,1018162,387 Park Avenue South,10016,Office,76,1923,217538,1,12,200.8,,,6.47,Office,"{'Bank/Financial Institution': 7820.0, 'Other': 20820.0, 'Retail': 9810.0, 'Office': 212169.0}",0,13192073.5,,143377.39,,2.84,,,,,4473488.97
1013740049,1040762,645 Madison Ave,10022,Office,35,1975,209991,1,22,286.3,,,11.05,Office,"{'Retail': 42098.0, 'Other': 19708.0, 'Office': 148185.0}",0,14277064.74,,,13285014.31,3.71,,,,,
2024610094,2002823,1020 Grand Concourse,10451,Multifamily Housing,0,1961,337575,1,23,224.1,,,12.41,Multifamily Home,"{'Multifamily Home': 301725.0, 'Other': 35850.0, 'Parking': 90785.0}",0,11103535.12,605,2081045.63,,,453,,,,41837366.08
1014097503,1076302,135 E 74 Street,10021,Multifamily Housing,0,1977,57429,1,11,158.2,,,7.51,Multifamily Home,,0,1633786.68,50,549792.6,,,31,,,,3402762.95
1013210042,1037995,212 E 48 Street,10017,Multifamily Housing,0,1923,51576,1,8,136,,,5.18,Multifamily Home,,0,901920.69,54,3722275.79,,,46,,,,
1001357501,1001473,261 Broadway,10007,Multifamily Housing,0,1906,122000,1,12,122.1,,,5.82,Multifamily Home,"{'Multifamily Home': 112500.0, 'Other': 9500.0}",0,3070434.49,90,232843.75,,,65,,,,6617619.41
1011410039,1029650,120 W 70 Street,10023,Multifamily Housing,0,1916,66917,1,9,138.6,,,5.15,Multifamily Home,,0,1486709.12,85,2909100,,,38,,,2039582.49,
3019430006,3379645,360 Clinton Ave,11238,Multifamily Housing,0,1940,95960,2,6,131.7,,,5.01,Multifamily Home,,0,1597621.82,136,7294608.88,,,96,,,,
1011240042,1028619,12 W 72 Street,10023,Multifamily Housing,0,1950,178893,1,31,109.2,,,3.66,Multifamily Home,"{'Multifamily Home': 173123.0, 'Other': 5770.0}",0,4194587.78,226,12016866.67,,,155,,,624245.94,
1013970066,1042058,116 E 63 St.,10065,Multifamily Housing,0,1913,87968,1,9,114.3,,,5.98,Multifamily Home,"{'Multifamily Home': 34968.0, 'Other': 3000.0}",0,1636137.77,99,103096.88,,,34,,,,4833922.38
1013670020,1040462,36 Sutton Place South,10022,Multifamily Housing,0,1949,147000,1,17,103.5,,,4.43,Multifamily Home,,0,2648194.91,144,189885.33,,,100,,,,9329414.01
3000457501,3388734,70 Washington Street,11201,Multifamily Housing,0,1906,354761,1,13,147.6,,,5.04,Multifamily Home,"{'Multifamily Home': 368776.0, 'Retail': 9950.0}",0,11321012.59,400,12935661.9,,,257,,,,
1012327502,1033103,500 West End Ave,10024,Multifamily Housing,0,1945,140836,1,13,116.1,,,5.84,,,,,,,,,,,,,
1012437501,1071159,215 W 95th Street,10025,Multifamily Housing,0,1900,172997,1,16,142.4,,,6.48,Multifamily Home,"{'Multifamily Home': 164145.0, 'Retail': 8852.0}",0,4857466.03,236,447913.75,,,212,,21673441.82,,
1014510031,1045178,350 E 77 Street,10075,Multifamily Housing,0,1938,66962,1,6,117.8,,,6.67,Multifamily Home,"{'Multifamily Home': 66162.0, 'Other': 800.0}",0,1083966.36,119,198496.28,,,80,,,,4512017.46
1011500037,1030260,118 W 79 Street,10024,Multifamily Housing,0,1924,104238,1,14,99,,,5.28,Multifamily Home,,0,1548158.05,140,156685.94,,,49,,,,5555544.36
1021390530,1063450,359 Fort Washington,10033,Multifamily Housing,0,1923,81804,1,6,112.8,,,6.57,Multifamily Home,,0,1012128.42,110,111113.98,,,55,,,,5287731.59
1012330002,1033129,522 West End Ave,10024,Multifamily Housing,0,1924,80328,1,15,98,,,5.19,Multifamily Home,,0,1249695.86,97,162148.48,,,60,,4063065.79,,
1021390523,1063449,371 Fort Washington Ave,10033,Multifamily Housing,0,1924,81804,1,6,92,,,4.92,Multifamily Home,,0,1009589.5,115,214317.85,,,54,,,4234637.04,
1012170054,1032216,160 W 87 Street,10024,Multifamily Housing,0,1913,59408,1,9,101.8,,,5.65,Multifamily Home,,0,911244.64,83,119494.88,,,40,,,,3580685.08
1011500055,1030264,150 W 79 Street,10024,Multifamily Housing,0,1910,70080,1,12,100.4,,,3.71,Multifamily Home,,0,1095667.41,98,183625,,,130,,,956964.45,
1014130027,1043245,169 E 78 Street,10075,Multifamily Housing,0,1928,55883,1,10,101.5,,,5.6,Multifamily Home,"{'Multifamily Home': 54683.0, 'Other': 1200.0}",0,844023.25,50,62559.26,,,35,,,,3463272.34
3002520008,3002142,2 Grace Court,11201,Multifamily Housing,0,1923,143418,4,6,113.8,,,4.28,Multifamily Home,,0,2241800.51,251,8353637.88,,,141,,,0,
1011290045,1028818,20 W 77 Street,10024,Multifamily Housing,0,1980,58723,1,15,90.1,,,4.75,Multifamily Home,,0,753298.75,76,74525.05,,,31,,3079345.17,,
1007660039,1013813,201 W 16 Street,10011,Multifamily Housing,0,1930,101221,1,19,134.7,,,7.64,Multifamily Home,"{'Multifamily Home': 96221.0, 'Other': 5000.0}",0,1926597.17,127,195452.08,,,115,,,,7949930.73
1007980071,1014811,148 W 23 Street,10011,Multifamily Housing,0,1910,127000,1,12,111.5,,,4.63,Multifamily Home,,0,3080519.32,180,247890,,,114,,,,4548794.91
1001010001,1001355,145 Nassau Street,10038,Multifamily Housing,0,1900,111685,1,11,84.8,,,4.13,Multifamily Home,"{'Multifamily Home': 100369.0, 'Other': 11316.0}",0,1578759.53,103,169972.92,,,41,,,6704853.53,
1013330023,1038647,5 Tudor City Place,10017,Multifamily Housing,0,1929,418312,1,26,138.7,,,6.8,Multifamily Home,"{'Multifamily Home': 408812.0, 'Other': 9500.0}",0,8617192.02,799,15697511.14,,,799,,,17851514.42,
1001430001,1001543,165 Duane Street,10013,Multifamily Housing,0,1910,77630,1,10,133,,,4.36,Multifamily Home,"{'Multifamily Home': 69830.0, 'Office': 7800.0}",0,2205418.71,75,2672101.25,,1.28,36,,,,
3000277501,3346104,1 Main Street,11201,Multifamily Housing,0,1915,274516,1,15,155,,,5.77,Multifamily Home,,0,5973217.8,186,21404566.99,,,126,,208035.75,,
1015180061,1048134,114 E 90th Street,10128,Multifamily Housing,0,1924,54997,1,9,118.7,,,6.25,Multifamily Home,,0,959756.6,103,97987.5,,,41,,,,3284711.03
1015777501,1050880,520 E 81 Street,10028,Multifamily Housing,0,1905,103108,1,14,216.4,,,10.14,Multifamily Home,"{'Multifamily Home': 103108.0, 'Parking': 8000.0}",0,2279998.86,170,7655628.24,,,165,,971943.02,,
3021000072,3058921,101 Lafayette Ave,11217,Multifamily Housing,0,1932,134500,1,17,138.1,,,5.31,Multifamily Home,"{'Multifamily Home': 126940.0, 'Other': 7560.0}",0,2261359.33,210,10001424.02,,,199,,,,
1014930033,1046669,940 Park Ave,10028,Multifamily Housing,0,1925,64058,1,15,136.9,,,7.41,Multifamily Home,,0,1438303.87,60,84231.18,,,29,,,,4590088.54
3010680037,3024821,9 Prospect Park W,11215,Multifamily Housing,0,1929,120000,1,17,131.1,,,5.94,Multifamily Home,,0,1373256.87,194,7926767.18,,,37,,,0,
2046710051,2093569,801 Tilden Street,10467,Multifamily Housing,0,1967,318060,2,30,127.9,,,7.35,Multifamily Home,,0,5244532.29,444,1146058.82,,,265,,,,23019152.11
1021800371,1064447,66 Overlook Terrace,10040,Multifamily Housing,0,1955,133920,1,8,117.8,,,6.4,Multifamily Home,,0,2332520.45,215,493800,,,120,,,,8920276.94
1011830042,1030969,322 W 72 Street,10023,Multifamily Housing,0,1924,107376,1,15,93.3,,,4.98,Multifamily Home,,0,1566811.7,167,193574.19,,,61,,,,5484656.93
1014370001,1044360,301 E 62 Street,10065,Multifamily Housing,0,1958,113328,1,14,159.7,,,8.57,Multifamily Home,"{'Multifamily Home': 108828.0, 'Other': 4500.0, 'Parking': 7000.0}",0,2869829.32,169,295073.44,,,130,,,,9026337.15
1013960071,1042010,555 Park Ave,10065,Multifamily Housing,0,1912,95603,1,12,145.7,,,6.12,Multifamily Home,,0,3169455.96,75,232830,,,25,,,,5168188.76
1012480041,1033945,320 W 87 Street,10024,Multifamily Housing,0,1911,57516,1,9,96.4,,,4.87,Multifamily Home,,0,884708.07,75,120661.25,,,36,,3259642.82,,
1013330042,1080448,304-324 E 41 Street,10017,Multifamily Housing,0,1906,128798,3,10,149.2,,,7.97,Multifamily Home,"{'Multifamily Home': 126898.0, 'Medical Office': 1900.0}",0,2891033.74,276,404072.73,,,189,,,,10413143.29
1012370061,1033312,610 West End Ave,10024,Multifamily Housing,0,1912,177048,1,12,117,,,5.76,Multifamily Home,,0,3162657.12,160,258089.13,,,57,,,,10393318.28
